Company,Ticker,Date,Segement,Call,Price
e.l.f. Beauty (ELF),ELF,6/6/2017,Guest Interview ,Buy Recommendations ,26.59
Apple (AAPL),AAPL,6/6/2017,Discussed Stock,Buy Recommendations ,154.45
Xerox (XRX),XRX,6/7/2017,Lightning Round ,Sell Recommendations ,7.04
Xilinx (XLNX),XLNX,6/7/2017,Lightning Round ,Buy Recommendations ,67.87
Visa (V),V,6/7/2017,Discussed Stock,Buy Recommendations ,96.09
Roche (RHHBY),RHHBY,6/7/2017,Discussed Stock,Negative Mention ,32.09
NVIDIA (NVDA),NVDA,6/7/2017,Discussed Stock,Buy Recommendations ,149.12
Microsoft (MSFT),MSFT,6/7/2017,Discussed Stock,Buy Recommendations ,72.39
McDonald's (MCD),MCD,6/7/2017,Discussed Stock,Buy Recommendations ,151.94
Mastercard (MA),MA,6/7/2017,Discussed Stock,Buy Recommendations ,125.19
LAM Research (LRCX),LRCX,6/7/2017,Discussed Stock,Buy Recommendations ,162.3
Loxo Oncology (LOXO),LOXO,6/7/2017,Discussed Stock,Positive Mention ,71.97
Juno Therapeutics (JUNO),JUNO,6/7/2017,Discussed Stock,Negative Mention ,23.73
Johnson & Johnson (JNJ),JNJ,6/7/2017,Discussed Stock,Buy Recommendations ,130.75
Intuitive Surgical (ISRG),ISRG,6/7/2017,Featured Stock,Buy Recommendations ,932
Intuit (INTU),INTU,6/7/2017,Featured Stock,Buy Recommendations ,141.97
Incyte (INCY),INCY,6/7/2017,Discussed Stock,Buy Recommendations ,119.15
Huntsman (HUN),HUN,6/7/2017,Lightning Round ,Sell Recommendations ,23.92
General Dynamics (GD),GD,6/7/2017,Discussed Stock,Buy Recommendations ,198.87
Comcast (CMCSA),CMCSA,6/7/2017,Discussed Stock,Buy Recommendations ,41.89
Celgene (CELG),CELG,6/7/2017,Discussed Stock,Buy Recommendations ,117.57
Bluebird Bio (BLUE),BLUE,6/7/2017,Discussed Stock,Positive Mention ,109.15
Broadcom (AVGO),AVGO,6/7/2017,Discussed Stock,Buy Recommendations ,254.28
Activision Blizzard (ATVI),ATVI,6/7/2017,Discussed Stock,Buy Recommendations ,60.53
Alere (ALR),ALR,6/7/2017,Lightning Round ,Positive Mention ,49.97
Autodesk (ADSK),ADSK,6/7/2017,Discussed Stock,Buy Recommendations ,111.17
Adobe Systems (ADBE),ADBE,6/7/2017,Discussed Stock,Buy Recommendations ,143.62
Abbott Laboratories (ABT),ABT,6/7/2017,Lightning Round ,Buy Recommendations ,46.56
Valvoline (VVV),VVV,6/8/2017,Lightning Round ,Buy Recommendations ,22.76
Molson Coors (TAP),TAP,6/8/2017,Lightning Round ,Negative Mention ,87.16
Constellation Brands (STZ),STZ,6/8/2017,Lightning Round ,Buy Recommendations ,183.45
NVIDIA (NVDA),NVDA,6/8/2017,Discussed Stock,Buy Recommendations ,159.94
Nokia (NOK),NOK,6/8/2017,Lightning Round ,Negative Mention ,6.52
Netflix (NFLX),NFLX,6/8/2017,Discussed Stock,Buy Recommendations ,165.88
Nordstrom (JWN),JWN,6/8/2017,Discussed Stock,Positive Mention ,44.63
Intuitive Surgical (ISRG),ISRG,6/8/2017,Discussed Stock,Buy Recommendations ,929.85
Inovio Pharmaceutical (INO),INO,6/8/2017,Guest Interview ,Buy Recommendations ,8.19
IAC Interactive (IAC),IAC,6/8/2017,Featured Stock,Buy Recommendations ,106.3
Huntington Ingalls (HII),HII,6/8/2017,Lightning Round ,Positive Mention ,192.51
General Dynamics (GD),GD,6/8/2017,Lightning Round ,Buy Recommendations ,199.64
Express Scripts (ESRX),ESRX,6/8/2017,Discussed Stock,Sell Recommendations ,60.36
Deckers Brands (DECK),DECK,6/8/2017,Discussed Stock,Negative Mention ,69.26
Darling International (DAR),DAR,6/8/2017,Lightning Round ,Buy Recommendations ,15.95
Salesforce.com (CRM),CRM,6/8/2017,Discussed Stock,Buy Recommendations ,91.25
Chipotle Mexican Grill (CMG),CMG,6/8/2017,Discussed Stock,Buy Recommendations ,459.69
Anheuser-Busch InBev (BUD),BUD,6/8/2017,Lightning Round ,Positive Mention ,114.48
Blackberry (BBRY),BBRY,6/8/2017,Lightning Round ,Sell Recommendations ,11.17
Analog Devices (ADI),ADI,6/8/2017,Lightning Round ,Buy Recommendations ,82.44
Apple (AAPL),AAPL,6/8/2017,Discussed Stock,Buy Recommendations ,154.99
Trinseo (TSE),TSE,6/9/2017,Lightning Round ,Negative Mention ,67.25
Tiffany & Co (TIF),TIF,6/9/2017,Lightning Round ,Buy Recommendations ,94.69
Skechers USA (SKX),SKX,6/9/2017,Lightning Round ,Buy Recommendations ,27.32
NVIDIA (NVDA),NVDA,6/9/2017,Featured Stock,Buy Recommendations ,149.6
NASDAQ (NDAQ),NDAQ,6/9/2017,Lightning Round ,Buy Recommendations ,70.54
Mazor Robotics (MZOR),MZOR,6/9/2017,Lightning Round ,Negative Mention ,30.59
Kroger (KR),KR,6/9/2017,Discussed Stock,Buy Recommendations ,30.78
International Game Techno (IGT),IGT,6/9/2017,Lightning Round ,Sell Recommendations ,18
Idexx Laboratories (IDXX),IDXX,6/9/2017,Featured Stock,Buy Recommendations ,164.56
H&R Block (HRB),HRB,6/9/2017,Discussed Stock,Positive Mention ,26.19
Corning (GLW),GLW,6/9/2017,Discussed Stock,Buy Recommendations ,28.95
Walt Disney (DIS),DIS,6/9/2017,Lightning Round ,Buy Recommendations ,105.62
CoreSite Realty (COR),COR,6/9/2017,Guest Interview ,Buy Recommendations ,106.42
Chicago Bridge & Iron (CBI),CBI,6/9/2017,Featured Stock,Sell Recommendations ,16.16
Axalta Coating Systems (AXTA),AXTA,6/9/2017,Lightning Round ,Buy Recommendations ,33.59
Charles Schwab (SCHW),SCHW,6/12/2017,Lightning Round ,Buy Recommendations ,41.88
Pool Corp (POOL),POOL,6/12/2017,Featured Stock,Buy Recommendations ,119.96
Ollie's Bargain Outlet (OLLI),OLLI,6/12/2017,Guest Interview ,Buy Recommendations ,41.5
Universal Display (OLED),OLED,6/12/2017,Featured Stock,Buy Recommendations ,116.95
NVIDIA (NVDA),NVDA,6/12/2017,Discussed Stock,Buy Recommendations ,149.97
MGM Growth Properties (MGP),MGP,6/12/2017,Lightning Round ,Buy Recommendations ,28.61
LAM Research (LRCX),LRCX,6/12/2017,Discussed Stock,Buy Recommendations ,154.51
Alphabet (GOOGL),GOOGL,6/12/2017,Discussed Stock,Buy Recommendations ,961.81
General Electric (GE),GE,6/12/2017,Featured Stock,Positive Mention ,28.94
Facebook (FB),FB,6/12/2017,Discussed Stock,Buy Recommendations ,148.44
Essent Group (ESNT),ESNT,6/12/2017,Lightning Round ,Buy Recommendations ,36.72
Chemours (CC),CC,6/12/2017,Lightning Round ,Negative Mention ,39.76
Cara Therapeutics (CARA),CARA,6/12/2017,Lightning Round ,Buy Recommendations ,17.55
Adobe Systems (ADBE),ADBE,6/12/2017,Discussed Stock,Buy Recommendations ,137.25
Apple (AAPL),AAPL,6/12/2017,Discussed Stock,Buy Recommendations ,145.42
Xylem (XYL),XYL,6/13/2017,Lightning Round ,Negative Mention ,53.79
Visa (V),V,6/13/2017,Discussed Stock,Positive Mention ,95.08
United Technologies (UTX),UTX,6/13/2017,Discussed Stock,Buy Recommendations ,120.06
Teekay Shipping (TK),TK,6/13/2017,Featured Stock,Sell Recommendations ,6.12
Scotts Miracle-Gro (SMG),SMG,6/13/2017,Discussed Stock,Positive Mention ,89.83
Pentair (PNR),PNR,6/13/2017,Lightning Round ,Buy Recommendations ,66.53
Procter & Gamble (PG),PG,6/13/2017,Discussed Stock,Buy Recommendations ,88.06
NXP Semiconductors (NXPI),NXPI,6/13/2017,Lightning Round ,Buy Recommendations ,109.11
3M (MMM),MMM,6/13/2017,Discussed Stock,Buy Recommendations ,209.11
Mercadolibre (MELI),MELI,6/13/2017,Lightning Round ,Positive Mention ,273
Mastercard (MA),MA,6/13/2017,Discussed Stock,Positive Mention ,122.32
Johnson & Johnson (JNJ),JNJ,6/13/2017,Discussed Stock,Buy Recommendations ,132.02
Incyte (INCY),INCY,6/13/2017,Lightning Round ,Buy Recommendations ,118.52
Honeywell (HON),HON,6/13/2017,Discussed Stock,Buy Recommendations ,134.39
HollyFrontier (HFC),HFC,6/13/2017,Lightning Round ,Buy Recommendations ,26.47
Home Depot (HD),HD,6/13/2017,Discussed Stock,Positive Mention ,153.99
Emerson Electric (EMR),EMR,6/13/2017,Featured Stock,Buy Recommendations ,60.84
Domino's Pizza (DPZ),DPZ,6/13/2017,Lightning Round ,Buy Recommendations ,208.4
CSX (CSX),CSX,6/13/2017,Featured Stock,Buy Recommendations ,53.87
TJX Companies (TJX),TJX,6/14/2017,Lightning Round ,Buy Recommendations ,73.17
Target (TGT),TGT,6/14/2017,Lightning Round ,Positive Mention ,57.86
Pepsico (PEP),PEP,6/14/2017,Discussed Stock,Buy Recommendations ,117.37
Coca-Cola (KO),KO,6/14/2017,Featured Stock,Positive Mention ,45.3
H&R Block (HRB),HRB,6/14/2017,Guest Interview ,Buy Recommendations ,29.13
Groupon (GRPN),GRPN,6/14/2017,Lightning Round ,Positive Mention ,3.15
Salesforce.com (CRM),CRM,6/14/2017,Lightning Round ,Buy Recommendations ,87.17
Coupa Software (COUP),COUP,6/14/2017,Lightning Round ,Positive Mention ,30.92
Berkshire Hathaway (BRK.B),BRK.B,6/14/2017,Lightning Round ,Buy Recommendations ,171.45
Box (BOX),BOX,6/14/2017,Guest Interview ,Buy Recommendations ,18.3
XPO Logistics (XPO),XPO,6/15/2017,Lightning Round ,Positive Mention ,61.07
Western Digital (WDC),WDC,6/15/2017,Lightning Round ,Buy Recommendations ,87.31
Sirius XM Radio (SIRI),SIRI,6/15/2017,Lightning Round ,Buy Recommendations ,5.18
Transocean (RIG),RIG,6/15/2017,Lightning Round ,Sell Recommendations ,8.56
Rent-A-Center (RCII),RCII,6/15/2017,Featured Stock,Sell Recommendations ,12.12
Patterson-UTI Energy (PTEN),PTEN,6/15/2017,Guest Interview ,Buy Recommendations ,19.97
Pandora Media (P),P,6/15/2017,Lightning Round ,Sell Recommendations ,7.3
Nucor (NUE),NUE,6/15/2017,Discussed Stock,Negative Mention ,54.6
Nike (NKE),NKE,6/15/2017,Discussed Stock,Negative Mention ,52.9
Micron Technology (MU),MU,6/15/2017,Lightning Round ,Negative Mention ,30.56
Kroger (KR),KR,6/15/2017,Featured Stock,Sell Recommendations ,24.56
Michael Kors (KORS),KORS,6/15/2017,Lightning Round ,Sell Recommendations ,34.68
Kate Spade (KATE),KATE,6/15/2017,Lightning Round ,Positive Mention ,18.47
HP (HPQ),HPQ,6/15/2017,Lightning Round ,Buy Recommendations ,17.27
Goodyear Tire & Rubber (GT),GT,6/15/2017,Lightning Round ,Sell Recommendations ,34.65
Alphabet (GOOGL),GOOGL,6/15/2017,Discussed Stock,Buy Recommendations ,960.18
FedEx (FDX),FDX,6/15/2017,Lightning Round ,Negative Mention ,210.45
3D Systems (DDD),DDD,6/15/2017,Lightning Round ,Sell Recommendations ,20.86
Coach (COH),COH,6/15/2017,Lightning Round ,Positive Mention ,46.07
Cloudera (CLDR),CLDR,6/15/2017,Lightning Round ,Positive Mention ,16.11
Crestwood Equity Partners (CEQP),CEQP,6/15/2017,Lightning Round ,Sell Recommendations ,21.05
Cheesecake Factory (CAKE),CAKE,6/15/2017,Discussed Stock,Negative Mention ,52.41
Buffalo Wild Wings (BWLD),BWLD,6/15/2017,Discussed Stock,Negative Mention ,140.3
Walmart (WMT),WMT,6/16/2017,Discussed Stock,Negative Mention ,75.24
Whole Foods Markets (WFM),WFM,6/16/2017,Discussed Stock,Positive Mention ,42.68
United Technologies (UTX),UTX,6/16/2017,Discussed Stock,Positive Mention ,120.43
Target (TGT),TGT,6/16/2017,Discussed Stock,Negative Mention ,52.61
Sierra Wireless (SWIR),SWIR,6/16/2017,Lightning Round ,Sell Recommendations ,29.25
SuperValu (SVU),SVU,6/16/2017,Discussed Stock,Sell Recommendations ,3.22
Synergy Pharmaceuticals (SGYP),SGYP,6/16/2017,Lightning Round ,Buy Recommendations ,4.07
Praxair (PX),PX,6/16/2017,Featured Stock,Buy Recommendations ,136
Oracle (ORCL),ORCL,6/16/2017,Discussed Stock,Positive Mention ,45.09
Lennar (LEN),LEN,6/16/2017,Discussed Stock,Buy Recommendations ,52.93
Kroger (KR),KR,6/16/2017,Discussed Stock,Sell Recommendations ,22.29
Carmax (KMX),KMX,6/16/2017,Discussed Stock,Negative Mention ,60.69
General Electric (GE),GE,6/16/2017,Discussed Stock,Positive Mention ,29
FedEx (FDX),FDX,6/16/2017,Discussed Stock,Positive Mention ,210.5
Costco (COST),COST,6/16/2017,Discussed Stock,Negative Mention ,167.11
Coach (COH),COH,6/16/2017,Featured Stock,Buy Recommendations ,46.23
Chipotle Mexican Grill (CMG),CMG,6/16/2017,Lightning Round ,Buy Recommendations ,451.09
Comcast (CMCSA),CMCSA,6/16/2017,Lightning Round ,Buy Recommendations ,41.28
Colony NorthStar (CLNS),CLNS,6/16/2017,Lightning Round ,Negative Mention ,14.38
The Blackstone Group (BX),BX,6/16/2017,Lightning Round ,Buy Recommendations ,32.66
Blackberry (BBRY),BBRY,6/16/2017,Discussed Stock,Sell Recommendations ,10.53
Bed Bath & Beyond (BBBY),BBBY,6/16/2017,Discussed Stock,Sell Recommendations ,35.33
Boeing (BA),BA,6/16/2017,Discussed Stock,Positive Mention ,196.44
Amazon (AMZN),AMZN,6/16/2017,Featured Stock,Buy Recommendations ,987.71
Adobe Systems (ADBE),ADBE,6/16/2017,Discussed Stock,Buy Recommendations ,137.84
Accenture (ACN),ACN,6/16/2017,Discussed Stock,Buy Recommendations ,127.56
Walmart (WMT),WMT,6/19/2017,Discussed Stock,Negative Mention ,75.5
Ultra Clean Holdings (UCTT),UCTT,6/19/2017,Lightning Round ,Buy Recommendations ,21.01
AT&T (T),T,6/19/2017,Lightning Round ,Buy Recommendations ,38.91
Marathon Oil (MRO),MRO,6/19/2017,Lightning Round ,Negative Mention ,12.49
Marathon Petroleum (MPC),MPC,6/19/2017,Lightning Round ,Buy Recommendations ,54.29
Kroger (KR),KR,6/19/2017,Discussed Stock,Sell Recommendations ,22.64
At Home Group (HOME),HOME,6/19/2017,Lightning Round ,Buy Recommendations ,22.89
Goldman Sachs (GS),GS,6/19/2017,Guest Interview ,Buy Recommendations ,226.13
Alphabet (GOOGL),GOOGL,6/19/2017,Discussed Stock,Buy Recommendations ,975.22
EQT Corp (EQT),EQT,6/19/2017,Discussed Stock,Buy Recommendations ,53.51
Amazon (AMZN),AMZN,6/19/2017,Featured Stock,Buy Recommendations ,995.17
Adobe Systems (ADBE),ADBE,6/19/2017,Discussed Stock,Buy Recommendations ,140.35
Apple (AAPL),AAPL,6/19/2017,Discussed Stock,Buy Recommendations ,146.34
Wix.com (WIX),WIX,6/20/2017,Guest Interview ,Buy Recommendations ,70.75
Smart & Final Stores (SFS),SFS,6/20/2017,Lightning Round ,Negative Mention ,8.4
SemGroup (SEMG),SEMG,6/20/2017,Lightning Round ,Negative Mention ,24.1
Nucor (NUE),NUE,6/20/2017,Lightning Round ,Buy Recommendations ,56.13
IBM (IBM),IBM,6/20/2017,Guest Interview ,Buy Recommendations ,154.95
FedEx (FDX),FDX,6/20/2017,Discussed Stock,Positive Mention ,208.95
Cara Therapeutics (CARA),CARA,6/20/2017,Lightning Round ,Buy Recommendations ,17.69
AK Steel Holding (AKS),AKS,6/20/2017,Lightning Round ,Positive Mention ,6.23
Adobe Systems (ADBE),ADBE,6/20/2017,Discussed Stock,Positive Mention ,140.91
Workday (WDAY),WDAY,6/21/2017,Discussed Stock,Buy Recommendations ,102.24
TJX Companies (TJX),TJX,6/21/2017,Discussed Stock,Negative Mention ,69.4
TG Therapeutics (TGTX),TGTX,6/21/2017,Lightning Round ,Buy Recommendations ,11.45
SunTrust Banks (STI),STI,6/21/2017,Guest Interview ,Buy Recommendations ,55.29
Red Hat (RHT),RHT,6/21/2017,Guest Interview ,Buy Recommendations ,98.58
Regeneron Pharmaceuticals (REGN),REGN,6/21/2017,Discussed Stock,Buy Recommendations ,522.02
NVIDIA (NVDA),NVDA,6/21/2017,Discussed Stock,Buy Recommendations ,159.47
ServiceNow (NOW),NOW,6/21/2017,Discussed Stock,Buy Recommendations ,105.62
Lowe's (LOW),LOW,6/21/2017,Discussed Stock,Buy Recommendations ,79.14
Lockheed Martin (LMT),LMT,6/21/2017,Lightning Round ,Buy Recommendations ,282.99
HD Supply (HDS),HDS,6/21/2017,Lightning Round ,Buy Recommendations ,32.19
Home Depot (HD),HD,6/21/2017,Discussed Stock,Buy Recommendations ,156.59
Celgene (CELG),CELG,6/21/2017,Discussed Stock,Buy Recommendations ,132.83
Adobe Systems (ADBE),ADBE,6/21/2017,Guest Interview ,Buy Recommendations ,144.24
Zoetis (ZTS),ZTS,6/22/2017,Lightning Round ,Positive Mention ,63.51
Yext (YEXT),YEXT,6/22/2017,Guest Interview ,Positive Mention ,13.24
United States Steel (X),X,6/22/2017,Lightning Round ,Sell Recommendations ,21.07
Walmart (WMT),WMT,6/22/2017,Discussed Stock,Positive Mention ,75.52
Valeant Pharmaceuticals (VRX),VRX,6/22/2017,Lightning Round ,Negative Mention ,15.5
Constellation Brands (STZ),STZ,6/22/2017,Featured Stock,Buy Recommendations ,184.11
PVH Corp (PVH),PVH,6/22/2017,Discussed Stock,Positive Mention ,109.07
Oracle (ORCL),ORCL,6/22/2017,Featured Stock,Buy Recommendations ,50.3
New York Community Bancor (NYCB),NYCB,6/22/2017,Lightning Round ,Buy Recommendations ,12.67
Nucor (NUE),NUE,6/22/2017,Lightning Round ,Buy Recommendations ,56.7
Mondelez International (MDLZ),MDLZ,6/22/2017,Guest Interview ,Buy Recommendations ,44.85
Mattel (MAT),MAT,6/22/2017,Lightning Round ,Sell Recommendations ,20.3
Incyte (INCY),INCY,6/22/2017,Lightning Round ,Buy Recommendations ,135.63
Idexx Laboratories (IDXX),IDXX,6/22/2017,Lightning Round ,Buy Recommendations ,166.52
Hasbro (HAS),HAS,6/22/2017,Lightning Round ,Buy Recommendations ,110.47
Diageo (DEO),DEO,6/22/2017,Featured Stock,Positive Mention ,119.62
California Resources (CRC),CRC,6/22/2017,Lightning Round ,Sell Recommendations ,8.42
Citigroup (C),C,6/22/2017,Lightning Round ,Buy Recommendations ,63.62
Alexion Pharmaceuticals (ALXN ),ALXN ,6/22/2017,Lightning Round ,Buy Recommendations ,126.23
Abbott Laboratories (ABT),ABT,6/22/2017,Lightning Round ,Buy Recommendations ,49.27
AbbVie (ABBV),ABBV,6/22/2017,Lightning Round ,Buy Recommendations ,73.18
Ulta Beauty (ULTA),ULTA,6/23/2017,Lightning Round ,Buy Recommendations ,284.71
Toll Brothers (TOL),TOL,6/23/2017,Discussed Stock,Buy Recommendations ,39.07
Constellation Brands (STZ),STZ,6/23/2017,Discussed Stock,Buy Recommendations ,184.57
Schnitzer Steel (SCHN),SCHN,6/23/2017,Discussed Stock,Positive Mention ,21.6
Reynolds American (RAI),RAI,6/23/2017,Lightning Round ,Buy Recommendations ,65.65
Proofpoint (PFPT),PFPT,6/23/2017,Lightning Round ,Buy Recommendations ,88.63
Paychex (PAYX),PAYX,6/23/2017,Discussed Stock,Buy Recommendations ,59.24
Nutanix (NTNX),NTNX,6/23/2017,Lightning Round ,Buy Recommendations ,19.31
Nike (NKE),NKE,6/23/2017,Discussed Stock,Sell Recommendations ,52.85
Micron Technology (MU),MU,6/23/2017,Discussed Stock,Positive Mention ,31.73
Mosaic (MOS),MOS,6/23/2017,Lightning Round ,Sell Recommendations ,22.97
Mondelez International (MDLZ),MDLZ,6/23/2017,Lightning Round ,Buy Recommendations ,44.9
KeyCorp (KEY),KEY,6/23/2017,Lightning Round ,Buy Recommendations ,17.9
KB Home (KBH),KBH,6/23/2017,Discussed Stock,Positive Mention ,22.41
General Mills (GIS),GIS,6/23/2017,Discussed Stock,Negative Mention ,55.94
Federal Realty Investment (FRT),FRT,6/23/2017,Guest Interview ,Buy Recommendations ,125.05
Farmland Partners (FPI),FPI,6/23/2017,Lightning Round ,Sell Recommendations ,9.24
FireEye (FEYE),FEYE,6/23/2017,Lightning Round ,Sell Recommendations ,15.67
Entergy (ETR),ETR,6/23/2017,Guest Interview ,Buy Recommendations ,78.99
Darden Restaurants (DRI),DRI,6/23/2017,Discussed Stock,Buy Recommendations ,88.73
Cisco Systems (CSCO),CSCO,6/23/2017,Discussed Stock,Negative Mention ,32.09
B&G Foods (BGS),BGS,6/23/2017,Lightning Round ,Sell Recommendations ,37.15
Bed Bath & Beyond (BBBY),BBBY,6/23/2017,Featured Stock,Sell Recommendations ,29.65
Broadcom (AVGO),AVGO,6/23/2017,Lightning Round ,Buy Recommendations ,245.26
Athenahealth (ATHN),ATHN,6/23/2017,Featured Stock,Negative Mention ,145.54
AGCO (AGCO),AGCO,6/23/2017,Lightning Round ,Buy Recommendations ,66.82
Applied Optoelectronics (AAOI),AAOI,6/23/2017,Lightning Round ,Sell Recommendations ,65.87
Take-Two Interactive (TTWO),TTWO,7/5/2017,Discussed Stock,Buy Recommendations ,73.28
Tesla (TSLA),TSLA,7/5/2017,Discussed Stock,Negative Mention ,327.09
Synovus Financial (SNV),SNV,7/5/2017,Lightning Round ,Buy Recommendations ,45.01
Red Hat (RHT),RHT,7/5/2017,Discussed Stock,Buy Recommendations ,95.54
PayPal (PYPL),PYPL,7/5/2017,Discussed Stock,Buy Recommendations ,54.61
Parker Hannifin (PH),PH,7/5/2017,Lightning Round ,Buy Recommendations ,161.14
O'Reilly Automotive (ORLY),ORLY,7/5/2017,Discussed Stock,Sell Recommendations ,178.77
NVIDIA (NVDA),NVDA,7/5/2017,Discussed Stock,Buy Recommendations ,143.05
Micron Technology (MU),MU,7/5/2017,Discussed Stock,Negative Mention ,30.51
LAM Research (LRCX),LRCX,7/5/2017,Discussed Stock,Buy Recommendations ,142.53
Lowe's (LOW),LOW,7/5/2017,Lightning Round ,Negative Mention ,77.37
Home Depot (HD),HD,7/5/2017,Lightning Round ,Buy Recommendations ,152.69
Exelixis (EXEL),EXEL,7/5/2017,Lightning Round ,Negative Mention ,24.97
Electronic Arts (EA),EA,7/5/2017,Discussed Stock,Buy Recommendations ,106.76
AutoZone (AZO),AZO,7/5/2017,Discussed Stock,Sell Recommendations ,516.83
Broadcom (AVGO),AVGO,7/5/2017,Discussed Stock,Buy Recommendations ,231.61
Activision Blizzard (ATVI),ATVI,7/5/2017,Discussed Stock,Buy Recommendations ,57.16
Amazon (AMZN),AMZN,7/5/2017,Discussed Stock,Buy Recommendations ,971.4
Autodesk (ADSK),ADSK,7/5/2017,Discussed Stock,Buy Recommendations ,102.6
Adobe Systems (ADBE),ADBE,7/5/2017,Discussed Stock,Buy Recommendations ,141.21
Apple (AAPL),AAPL,7/5/2017,Discussed Stock,Buy Recommendations ,144.09
Advance Auto Parts (AAP),AAP,7/5/2017,Discussed Stock,Sell Recommendations ,105.21
Verizon (VZ),VZ,7/6/2017,Discussed Stock,Negative Mention ,43.52
AT&T (T),T,7/6/2017,Lightning Round ,Positive Mention ,37.18
JM Smucker (SJM),SJM,7/6/2017,Lightning Round ,Negative Mention ,115.11
Pepsico (PEP),PEP,7/6/2017,Lightning Round ,Buy Recommendations ,115.13
II-VI (IIVI),IIVI,7/6/2017,Lightning Round ,Buy Recommendations ,34.7
Halliburton (HAL),HAL,7/6/2017,Lightning Round ,Negative Mention ,42.02
General Electric (GE),GE,7/6/2017,Discussed Stock,Negative Mention ,26.31
Costco (COST),COST,7/6/2017,Discussed Stock,Negative Mention ,157.09
Chicago Bridge & Iron (CBI),CBI,7/6/2017,Lightning Round ,Sell Recommendations ,17.73
Avery Dennison (AVY),AVY,7/6/2017,Featured Stock,Buy Recommendations ,89.18
Blue Apron (APRN),APRN,7/6/2017,Featured Stock,Sell Recommendations ,8.06
Amazon (AMZN),AMZN,7/6/2017,Discussed Stock,Positive Mention ,965.14
Wells Fargo (WFC),WFC,7/7/2017,Discussed Stock,Negative Mention ,55.74
Under Armour (UAA),UAA,7/7/2017,Lightning Round ,Negative Mention ,20.64
Portola Pharmaceuticals (PTLA),PTLA,7/7/2017,Lightning Round ,Buy Recommendations ,58.48
PetMed Express (PETS),PETS,7/7/2017,Lightning Round ,Buy Recommendations ,41.29
Pepsico (PEP),PEP,7/7/2017,Discussed Stock,Buy Recommendations ,115.51
O'Reilly Automotive (ORLY),ORLY,7/7/2017,Lightning Round ,Sell Recommendations ,172.85
Oracle (ORCL),ORCL,7/7/2017,Discussed Stock,Buy Recommendations ,49.35
ON Semiconductor (ON),ON,7/7/2017,Lightning Round ,Sell Recommendations ,14.3
NovoCure (NVCR),NVCR,7/7/2017,Lightning Round ,Buy Recommendations ,18.05
Nike (NKE),NKE,7/7/2017,Lightning Round ,Buy Recommendations ,57.98
NextEra Energy (NEE),NEE,7/7/2017,Lightning Round ,Buy Recommendations ,140.48
Karyopharm Therapeutics (KPTI),KPTI,7/7/2017,Mail Bag ,Buy Recommendations ,9.3
JPMorgan Chase (JPM),JPM,7/7/2017,Discussed Stock,Buy Recommendations ,93.85
GNC Holdings (GNC),GNC,7/7/2017,Lightning Round ,Sell Recommendations ,8.33
General Mills (GIS),GIS,7/7/2017,Discussed Stock,Negative Mention ,53.63
General Dynamics (GD),GD,7/7/2017,Lightning Round ,Buy Recommendations ,201.26
National Beverage (FIZZ),FIZZ,7/7/2017,Lightning Round ,Positive Mention ,96.57
Equinix (EQIX),EQIX,7/7/2017,Guest Interview ,Buy Recommendations ,423.3
Editas Medicine (EDIT),EDIT,7/7/2017,Mail Bag ,Negative Mention ,17.18
Delta Air Lines (DAL),DAL,7/7/2017,Discussed Stock,Positive Mention ,55.46
Conduent (CNDT),CNDT,7/7/2017,Mail Bag ,Negative Mention ,16
Citigroup (C),C,7/7/2017,Discussed Stock,Buy Recommendations ,67.91
Brinks (BCO),BCO,7/7/2017,Featured Stock,Buy Recommendations ,66.95
Broadcom (AVGO),AVGO,7/7/2017,Lightning Round ,Buy Recommendations ,239.62
AeroVironment (AVAV),AVAV,7/7/2017,Lightning Round ,Buy Recommendations ,38.67
Amazon (AMZN),AMZN,7/7/2017,Discussed Stock,Buy Recommendations ,978.76
Yum China (YUMC),YUMC,7/10/2017,Featured Stock,Negative Mention ,37.32
Yum! Brands (YUM),YUM,7/10/2017,Featured Stock,Buy Recommendations ,73.54
Raytheon (RTN),RTN,7/10/2017,Lightning Round ,Buy Recommendations ,166.04
NovoCure (NVCR),NVCR,7/10/2017,Guest Interview ,Buy Recommendations ,18.1
Mazor Robotics (MZOR),MZOR,7/10/2017,Lightning Round ,Negative Mention ,40.88
Mattel (MAT),MAT,7/10/2017,Lightning Round ,Negative Mention ,20.92
Macy's (M),M,7/10/2017,Discussed Stock,Positive Mention ,21.08
Hasbro (HAS),HAS,7/10/2017,Lightning Round ,Buy Recommendations ,112.13
Canada Goose (GOOS),GOOS,7/10/2017,Lightning Round ,Buy Recommendations ,19.02
Costco (COST),COST,7/10/2017,Discussed Stock,Negative Mention ,151
Cara Therapeutics (CARA),CARA,7/10/2017,Lightning Round ,Negative Mention ,12.21
Amazon (AMZN),AMZN,7/10/2017,Featured Stock,Buy Recommendations ,996.47
Workday (WDAY),WDAY,7/11/2017,Discussed Stock,Positive Mention ,99.38
Verizon (VZ),VZ,7/11/2017,Discussed Stock,Negative Mention ,42.89
Ulta Beauty (ULTA),ULTA,7/11/2017,Discussed Stock,Negative Mention ,255.98
T-Mobile US (TMUS),TMUS,7/11/2017,Discussed Stock,Positive Mention ,61.23
AT&T (T),T,7/11/2017,Discussed Stock,Negative Mention ,36.6
Southwestern Energy (SWN),SWN,7/11/2017,Discussed Stock,Positive Mention ,5.97
