Company,Ticker,Date,Segement,Call,Price
Southwestern Energy (SWN),SWN,4/22/2016,Discussed Stock,Positive Mention ,12.27
SunTrust Banks (STI),STI,4/22/2016,Discussed Stock,Positive Mention ,41.96
Schlumberger (SLB),SLB,4/22/2016,Discussed Stock,Buy Recommendations ,79.93
Skechers USA (SKX),SKX,4/22/2016,Guest Interview ,Buy Recommendations ,32.73
Starbucks (SBUX),SBUX,4/22/2016,Discussed Stock,Positive Mention ,57.68
Procter & Gamble (PG),PG,4/22/2016,Discussed Stock,Negative Mention ,80.95
Norfolk Southern (NSC),NSC,4/22/2016,Discussed Stock,Positive Mention ,91.33
Microsoft (MSFT),MSFT,4/22/2016,Discussed Stock,Negative Mention ,51.78
3M (MMM),MMM,4/22/2016,Discussed Stock,Positive Mention ,168.66
Southwest Airlines (LUV),LUV,4/22/2016,Guest Interview ,Buy Recommendations ,47.25
Halliburton (HAL),HAL,4/22/2016,Discussed Stock,Positive Mention ,40.84
General Electric (GE),GE,4/22/2016,Discussed Stock,Buy Recommendations ,30.76
Facebook (FB),FB,4/22/2016,Discussed Stock,Positive Mention ,110.56
Domino's Pizza (DPZ),DPZ,4/22/2016,Discussed Stock,Positive Mention ,132.41
Dow Chemical (DOW),DOW,4/22/2016,Discussed Stock,Buy Recommendations ,52.61
DuPont (DD),DD,4/22/2016,Discussed Stock,Buy Recommendations ,65.97
Chevron (CVX),CVX,4/22/2016,Discussed Stock,Negative Mention ,102.01
Chesapeake Energy (CHK),CHK,4/22/2016,Lightning Round ,Sell Recommendations ,6.55
Cameco (CCJ),CCJ,4/22/2016,Lightning Round ,Sell Recommendations ,13.1
Baker Hughes (BHI),BHI,4/22/2016,Discussed Stock,Positive Mention ,46.43
B&G Foods (BGS),BGS,4/22/2016,Lightning Round ,Negative Mention ,32.65
Boeing (BA),BA,4/22/2016,Discussed Stock,Negative Mention ,131.05
Amazon (AMZN),AMZN,4/22/2016,Discussed Stock,Positive Mention ,620.5
Apple (AAPL),AAPL,4/22/2016,Discussed Stock,Buy Recommendations ,105.68
Walgreens Boots Alliance (WBA),WBA,4/25/2016,Lightning Round ,Buy Recommendations ,80.39
Union Pacific (UNP),UNP,4/25/2016,Discussed Stock,Positive Mention ,87.61
TRI Pointe Homes (TPH),TPH,4/25/2016,Lightning Round ,Sell Recommendations ,12.34
Schlumberger (SLB),SLB,4/25/2016,Discussed Stock,Positive Mention ,78.77
Outerwall (OUTR),OUTR,4/25/2016,Lightning Round ,Sell Recommendations ,42.69
Norfolk Southern (NSC),NSC,4/25/2016,Discussed Stock,Positive Mention ,91.37
Manitowoc (MTW),MTW,4/25/2016,Featured Stock,Buy Recommendations ,5.34
